90.186304	117.365738	0
127.982704	133.850991	1
149.332459	155.355174	2
202.533112	216.200045	3
273.184198	274.651270	4
302.409811	306.386341	5
319.898850	348.390936	6
355.957929	362.057861	7
421.281228	429.157101	8
466.760451	476.875530	9
528.454678	532.392614	10
532.933107	542.893742	11
551.734790	555.209438	12
592.195083	594.936195	14
598.449442	600.437718	15
601.441496	607.637936	16
615.571713	619.741282	17
626.265894	630.338955	18
633.659163	642.596719	19
676.358672	679.891226	20
680.972226	686.550960	21
706.047571	714.541144	22
741.025649	758.669118	23
788.744087	809.205879	24
1061.735249	1073.703481	25
1089.107719	1096.558881	 26
1163.851163	1181.996537	27
1184.699024	1198.674813	28
1225.236532	1233.730105	28
1256.739967	1269.480327	29
