0.0	6.56349206349
86.7596371882	89.9013605442
443.287981859	446.473922902
455.497732426	460.451247166
460.558956916	470.436507937
470.839002268	478.324263039
478.725623583	485.33446712
495.695011338	498.986394558
517.676870748	521.206349206
526.472789116	533.993197279
555.267573696	567.388888889
578.185941043	582.489795918
582.579365079	586.707482993
591.260770975	595.907029478
597.376417234	609.139455782
613.266439909	616.222222222
623.638321995	635.160997732
636.167800454	640.772108844
659.781179138	672.35260771
672.482993197	677.4569161
677.887755102	682.787981859
683.624716553	687.93877551
689.142857143	697.416099773
705.264172336	710.899092971
710.941043084	722.100907029
722.138321995	725.882086168
742.266439909	746.394557823
862.755102041	866.853741497
912.278911565	921.382086168
931.580498866	935.452380952
938.519274376	941.62244898
951.506802721	955.422902494
957.399092971	962.058956916
967.476190476	978.515873016
993.396825397	1001.29251701
1044.03854875	1049.28571429
1051.5521542	1056.24376417
1064.49433107	1083.45578231
1085.08730159	1100.13945578
1100.3276644	1103.40589569
1103.51927438	1106.78117914
1106.78571429	1109.82086168
1112.62698413	1118.14512472
1124.03061224	1145.89455782
1146.31179138	1149.74263039
1154.14285714	1173.67006803
1211.82653061	1225.09183673
1247.63492063	1252.138322
1259.47052154	1264.23469388
1267.30385488	1271.93197279
1283.21768707	1291.16666667
1291.2414966	1308.94331066
1350.82086168	1366.40022676
1366.78004535	1378.24036281
1393.01247166	1401.361678
1407.60884354	1417.18820862
1417.31632653	1421.68820862
1447.06802721	1456.35827664
1457.59183673	1463.52494331
1463.88662132	1483.46145125
1483.57256236	1491.5521542
1492.13945578	1495.48412698
1495.60657596	1507.97052154
1518.80045351	1537.9569161
1537.99773243	1548.03854875
1549.81519274	1563.32426304
1566.10204082	1574.44331066
1574.52267574	1579.92743764
1580.00226757	1586.93424036
1613.19047619	1621.60204082
1621.83219955	1626.35714286
1633.5260771	1657.38662132
1674.09637188	1679.21768707
1686.52040816	1689.79251701
1698.75170068	1701.77210884
1708.12698413	1712.61564626
1748.50226757	1752.34807256
1776.82086168	1779.77777778
1780.59637188	1785.99773243
1826.53061224	1829.73922902
1832.35827664	1836.54195011
1843.48526077	1855.72562358
1864.97845805	1871.60544218
1881.66099773	1886.27437642
1896.01927438	1899.48526077
1987.68707483	1996.66893424
1996.77664399	2004.77664399
2019.29705215	2023.74263039
2074.68820862	2084.6122449
2099.46598639	2103.69160998
2112.61111111	2118.21201814
2126.6893424	2131.47052154
2381.48185941	2390.7244898
2390.90249433	2394.45238095
2395.35487528	2400.00453515
2401.01020408	2405.92063492
2406.81746032	2409.99433107
2410.19727891	2416.47732426
2416.48072562	2421.65646259
2424.8707483	2435.54535147
2442.92290249	2448.37188209
